images,currentobject,xstart,xend,ystart,yend,,
book_good_yellow_1.png,Scene1,0.2,0.6,0.1,0.6,,
book_good_yellow_2.png,Scene2,0.2,0.6,0.1,0.6,,
book_good_yellow_3.png,Scene3,0.3,0.7,0.3,0.7,,
box_bad_blue_1.png,Scene1,0.4,0.8,0.1,0.6,,
box_bad_blue_2.png,Scene2,0.4,0.8,0.2,0.6,,
box_bad_blue_3.png,Scene3,0.3,0.7,0.2,0.8,,
box_bad_green_1.png,Scene1,0.4,0.8,0.1,0.6,,
box_bad_green_2.png,Scene2,0.4,0.8,0.2,0.6,,
box_bad_green_3.png,Scene3,0.3,0.7,0.2,0.8,,
box_bad_yellow_1.png,Scene1,0.4,0.8,0.1,0.6,,
box_bad_yellow_2.png,Scene2,0.4,0.8,0.2,0.6,,
box_bad_yellow_3.png,Scene3,0.3,0.7,0.2,0.8,,
box_good_blue_1.png,Scene1,0.2,0.7,0.2,0.8,,
box_good_blue_2.png,Scene2,0.4,0.6,0.2,0.7,,
box_good_blue_3.png,Scene3,0.3,0.6,0.4,0.8,,
box_good_green_1.png,Scene1,0.2,0.7,0.2,0.8,,
box_good_green_2.png,Scene2,0.4,0.6,0.2,0.7,,
box_good_green_3.png,Scene3,0.3,0.6,0.4,0.8,,
box_good_yellow_1.png,Scene1,0.2,0.7,0.2,0.8,,
box_good_yellow_2.png,Scene2,0.4,0.6,0.2,0.7,,
box_good_yellow_3.png,Scene3,0.3,0.6,0.4,0.8,,
chair_bad_blue_1.png,Scene1,0.3,0.6,0.3,0.7,,
chair_bad_blue_2.png,Scene2,0.4,0.6,0.3,0.7,,
chair_bad_blue_3.png,Scene3,0.4,0.6,0.3,0.7,,
chair_bad_green_1.png,Scene1,0.3,0.6,0.3,0.7,,
chair_bad_green_2.png,Scene2,0.4,0.6,0.3,0.7,,
chair_bad_green_3.png,Scene3,0.4,0.6,0.3,0.7,,
chair_bad_yellow_1.png,Scene1,0.3,0.6,0.3,0.7,,
chair_bad_yellow_2.png,Scene2,0.4,0.6,0.3,0.7,,
chair_bad_yellow_3.png,Scene3,0.4,0.6,0.3,0.7,,
